,Por,Perm,Height,Diameter,Swi,PV,URecovery
1,15.91,74.7,4.92,3.62,41.63,8.05,44.68
2,17.59,67.87,4.61,3.62,0,8.34,50.48
3,15.94,86.13,4.94,3.62,41.96,8.1,43.62
4,17.53,70.51,4.605,3.62,0,8.3,54.22
5,13.07,11,6.769,3.785,0,9.95,43.22
6,20.1,237.64,6.167,3.8,25.6,13.44,46.95
7,21,237.99,6.193,3.805,35.6,14.76,42.78
8,20.71,245.4,6.421,3.81,35.3,15.16,41.75
9,18.54,294.01,6.477,3.8,38.3,13.61,41.46
10,18.94,200,6.477,3.8,0,13.85,48.31
11,20.2,216.75,6.525,3.81,0,14.89,51
12,20.9,266.79,5.918,3.769,25,13.46,48.08
13,19,216.94,7.049,3.602,0,13.65,49.12
14,15.33,51.17,7.264,3.777,0,12.47,41
15,14.85,37.17,7.33,3.777,0,12.19,46
16,17.26,78.17,6.871,3.787,42,13.35,48
17,17.16,54.7,6.894,3.787,0,13.32,47
18,17,66.74,7.198,3.608,0,12.47,61.3
19,16.78,63.56,7.145,3.607,0,12.24,58.8
20,16.82,64.13,7.264,3.787,0,12.47,59.4
21,17.36,60.44,7.193,3.607,0,12.75,59.2
22,15.74,64.19,7.216,3.607,0,11.6,60.34
23,15.14,63.12,7.391,3.607,0,11.42,60.6
24,17.26,78.17,6.871,3.787,42,13.35,55.12
25,17.08,61.69,6.432,3.607,0,11.7,58.97
26,9.74,0.22,6.579,3.608,34.36,6.55,43.98
27,10.58,0.34,6.579,3.607,43.72,7.11,51.46
28,11.86,0.51,5.842,3.607,40.66,7.08,42.89
29,11.97,0.3,5.669,3.607,33.62,6.93,14.35
30,11.92,0.24,5.702,3.607,36.59,6.94,41.64
31,9.94,0.21,5.563,3.607,38.03,5.65,46
32,10.11,0.14,5.433,3.607,32.22,5.61,41.14
33,10.98,0.17,6.487,3.607,34.04,7.28,43
34,10.26,0.33,6.502,3.607,41.29,6.81,49.36
35,11.24,0.12,5.804,3.607,39.96,6.66,47.55
36,10.71,0.1,5.842,3.607,40.55,6.39,48.37
37,11.05,0.38,5.685,3.607,34.54,6.42,49.87
38,10.42,0.1,5.829,3.594,35.03,6.16,41.69
39,10.38,0.13,5.723,3.594,33.62,6.03,40.26
40,8.28,0.22,6.111,3.594,41.53,5.13,49.326
41,9.11,0.23,6.487,3.608,30.45,6.04,42
42,10.84,0.5,5.842,3.607,37.17,6.47,30.4
43,10.47,0.08,7.145,3.607,34.6,6.12,28.75
44,10.38,0.18,7.264,3.787,31.87,5.87,30
